Class,Crew,Country,Seat,Span,OarLength,OarInboard,OarOutboard
M2x,EBB8E09E39578FD7F0B5DFE11C7FE751,FRA,2,160,290,88,202
M2x,2E0A7F385BCC85125580C009F1092DD8,GBR,1,158.5,289,88,201
M2x,2E0A7F385BCC85125580C009F1092DD8,GBR,2,158.5,289,88,201
M2x,9FB79C26A0F9C04D22F4B26C5F46B982,SUI,1,,,,
M2x,9FB79C26A0F9C04D22F4B26C5F46B982,SUI,2,,,,
M2x,3255209EE14E6E6F15BD838C968B9737,USA,1,159,289,88,201
M2x,3255209EE14E6E6F15BD838C968B9737,USA,2,159,289,88,201
M2x,646B0B700DF378F92C543086B8914886,ROU,1,160,288.5,88.5,200
M2x,646B0B700DF378F92C543086B8914886,ROU,2,160,290,90,200
M2x,0645E4F3D9E17A6CA6752AA6EA3A86FA,BUL,1,159,287.5,88,199.5
M2x,0645E4F3D9E17A6CA6752AA6EA3A86FA,BUL,2,159,287.5,88,199.5
M2x,9921B368A48DD2B71A741E83136486B4,NED,1,159.5,288,88.5,199.5
M2x,9921B368A48DD2B71A741E83136486B4,NED,2,159,288,88.5,199.5
M2x,EA94864E1C06E1FF87BE8ED69C7B3EE8,ARG,1,159,290,88,202
M2x,EA94864E1C06E1FF87BE8ED69C7B3EE8,ARG,2,159,290,88,202
M2x,B85D1EB3D8C03F83FF9F2B1C64FF6A37,BLR,1,160,290,89,201
M2x,B85D1EB3D8C03F83FF9F2B1C64FF6A37,BLR,2,160,290,88.5,201.5
M2x,0613CD2136639477F2EF9271D10742CA,GER,1,158.5,287.3,88,199.3
M2x,0613CD2136639477F2EF9271D10742CA,GER,2,157.5,287,88.5,198.5
M2x,2AC6DF8464639A8C363CCDDC9714580F,CAN,1,159,291,89,202
M2x,2AC6DF8464639A8C363CCDDC9714580F,CAN,2,161,291,89,202
M2x,5FBAC9DD714F68A57F92EC0E246F4445,AUS,1,159,290,88,202
M2x,5FBAC9DD714F68A57F92EC0E246F4445,AUS,2,163,294,90,204
M2x,5865E78A600FA519FDBDC9F610BFC991,MEX,1,159,288.5,88.5,200
M2x,5865E78A600FA519FDBDC9F610BFC991,MEX,2,159,288,88.5,199.5
M2x,646B0B700DF378F92C543086B8914886,ROU,1,158.5,289,89,200
M2x,646B0B700DF378F92C543086B8914886,ROU,2,158.5,289,89,200
M2x,6F69D6CB9F2FABA2162D0135AC624759,EST,1,160,288,89,199
M2x,6F69D6CB9F2FABA2162D0135AC624759,EST,2,160,288,89,199
M4x,920C198C5A94324AF3F38D61443A6A48,LTU,1,159,289.5,88,201.5
M4x,920C198C5A94324AF3F38D61443A6A48,LTU,2,159,289.5,88,201.5
M4x,920C198C5A94324AF3F38D61443A6A48,LTU,3,159,289.5,88,201.5
M4x,920C198C5A94324AF3F38D61443A6A48,LTU,4,159,289.5,88,201.5
M4x,13772CFEE57AF9E17FB80F52A991778B,GBR,1,156,290,86,204
M4x,13772CFEE57AF9E17FB80F52A991778B,GBR,2,156,290,86,204
M4x,13772CFEE57AF9E17FB80F52A991778B,GBR,3,156,290,86,204
M4x,13772CFEE57AF9E17FB80F52A991778B,GBR,4,156,290,86,204
M4x,0915EE6DC7F00CB6558D9F79285B3986,EST,1,160,289,88.5,200.5
M4x,0915EE6DC7F00CB6558D9F79285B3986,EST,2,160,289,88.5,200.5
M4x,0915EE6DC7F00CB6558D9F79285B3986,EST,3,160,289,88.5,200.5
M4x,0915EE6DC7F00CB6558D9F79285B3986,EST,4,160,289,88.5,200.5
M4x,5F12FF551046337DFB5EC7935D7234DC,NED,1,159,288,88,200
M4x,5F12FF551046337DFB5EC7935D7234DC,NED,2,159,288,88,200
M4x,5F12FF551046337DFB5EC7935D7234DC,NED,3,159,288,87,201
M4x,5F12FF551046337DFB5EC7935D7234DC,NED,4,159,288,88,200
M4x,D04E12B12E44B54EC88A3BCE8FE756AF,POL,1,158,291,89,202
M4x,D04E12B12E44B54EC88A3BCE8FE756AF,POL,2,158.5,291,89,202
M4x,D04E12B12E44B54EC88A3BCE8FE756AF,POL,3,158,291,89,202
M4x,D04E12B12E44B54EC88A3BCE8FE756AF,POL,4,158.5,291,89,202
M4x,398A1935FC22EDF2E5D0D7D10642CC55,NOR,1,158,289,88,201
M4x,398A1935FC22EDF2E5D0D7D10642CC55,NOR,2,158,289,88,201
M4x,398A1935FC22EDF2E5D0D7D10642CC55,NOR,3,159,289,88,201
M4x,398A1935FC22EDF2E5D0D7D10642CC55,NOR,4,158,289,88,201
M4x,572F160163DE02A9A33CDBF9F85F0332,NZL,1,158,289.5,88,201.5
M4x,572F160163DE02A9A33CDBF9F85F0332,NZL,2,158,289.5,88,201.5
M4x,572F160163DE02A9A33CDBF9F85F0332,NZL,3,158,289.5,88,201.5
M4x,572F160163DE02A9A33CDBF9F85F0332,NZL,4,158,289.5,88,201.5
M4x,0E17BCB3D5410D7B352082ED74B9A81A,GER,1,159.5,291.5,88,203.5
M4x,0E17BCB3D5410D7B352082ED74B9A81A,GER,2,159.5,291.5,88,203.5
M4x,0E17BCB3D5410D7B352082ED74B9A81A,GER,3,159.5,291.5,88,203.5
M4x,0E17BCB3D5410D7B352082ED74B9A81A,GER,4,159.5,291.5,88,203.5
M4x,B628C7FB3A2B9926561DEAF2122A469E,FRA,1,159,290,88,202
M4x,B628C7FB3A2B9926561DEAF2122A469E,FRA,2,159,290,88,202
M4x,B628C7FB3A2B9926561DEAF2122A469E,FRA,3,159,290,88,202
M4x,B628C7FB3A2B9926561DEAF2122A469E,FRA,4,159,290,88,202
M4x,6928A513EFA40B1E1F011A7260EC7D5B,RUS,1,159,289,87.5,201.5
M4x,6928A513EFA40B1E1F011A7260EC7D5B,RUS,2,159,289,87.5,201.5
M4x,6928A513EFA40B1E1F011A7260EC7D5B,RUS,3,159,289,87.5,201.5
M4x,6928A513EFA40B1E1F011A7260EC7D5B,RUS,4,159,289,87.5,201.5
M4x,907030543CB04B584DDE778A882A0F44,UKR,1,159,290,88,202
M4x,907030543CB04B584DDE778A882A0F44,UKR,2,159,290,88,202
M4x,907030543CB04B584DDE778A882A0F44,UKR,3,159,290,88,202
M4x,907030543CB04B584DDE778A882A0F44,UKR,4,159,290,88,202
M4x,30331425758478FC0986CE1A178FD87A,ITA,1,159.5,290,90,200
M4x,30331425758478FC0986CE1A178FD87A,ITA,2,160,290.5,89,201.5
M4x,30331425758478FC0986CE1A178FD87A,ITA,3,161,290,89,201
M4x,30331425758478FC0986CE1A178FD87A,ITA,4,159.5,290.5,90.5,200
M4x,020262631243D9228324E51A66B05509,CHN,1,159,290,88,202
M4x,020262631243D9228324E51A66B05509,CHN,2,159,290,88,202
M4x,020262631243D9228324E51A66B05509,CHN,3,159,290,88,202
M4x,020262631243D9228324E51A66B05509,CHN,4,159,290,88,202
M4x,E33CE0CE910B75028C584329A639E24B,CUB,1,158,288.5,88,200.5
M4x,E33CE0CE910B75028C584329A639E24B,CUB,2,157.5,288.5,88,200.5
M4x,E33CE0CE910B75028C584329A639E24B,CUB,3,159,288.5,88,200.5
M4x,E33CE0CE910B75028C584329A639E24B,CUB,4,157.5,288.5,88,200.5
M4x,9D87E88932521EA85F46366DC1995BE1,USA,1,157,288.5,87,201.5
M4x,9D87E88932521EA85F46366DC1995BE1,USA,2,157,288.5,87,201.5
LW2x,93C17946938E305D8561BB778BD2157F,ROU,1,160,287,88,199
LW2x,93C17946938E305D8561BB778BD2157F,ROU,2,160,287,88,199
LW2x,041E0997BBB3CC001C4C741A1809A2D4,NZL,1,159.5,287,87.5,199.5
LW2x,041E0997BBB3CC001C4C741A1809A2D4,NZL,2,159.5,287,87.5,199.5
LW2x,964D4D5ECA97D9316D34AC81CD5C28EA,USA,1,159.1,285,86,199
LW2x,964D4D5ECA97D9316D34AC81CD5C28EA,USA,2,159,285,86,199
LW2x,72CD412227CC92C304E6CB2A5E4D36B9,POL,1,160,285,88.5,196.5
LW2x,72CD412227CC92C304E6CB2A5E4D36B9,POL,2,160,284.5,88.7,195.8
LW2x,3CA5E1036288AC7DF2BC7639F2D00337,GBR,1,157,288,88,200
LW2x,3CA5E1036288AC7DF2BC7639F2D00337,GBR,2,157,288,88,200
LW2x,6F42ECBDF5F6214321C9EF1B652F3534,DEN,1,158,285.5,87.8,197.7
LW2x,6F42ECBDF5F6214321C9EF1B652F3534,DEN,2,158,285.5,87.5,198
LW2x,8F50F16F0C3B9AC62E0820B2CDFDCEBE,FRA,1,159,286.5,88.5,198
LW2x,8F50F16F0C3B9AC62E0820B2CDFDCEBE,FRA,2,159,286.5,88.5,198
LW2x,244A0314B4A06EBB296419C066B61F0E,ITA,1,159,288,88,200
LW2x,244A0314B4A06EBB296419C066B61F0E,ITA,2,159.3,288,88,200
LW2x,2829BF591E52D33D95A98F2869E3A8E3,GER,1,158.5,286,86.2,199.8
LW2x,2829BF591E52D33D95A98F2869E3A8E3,GER,2,159,286,86.2,199.8
LW2x,EB27FC8AFEF8F8DA55943C51665EAFD6,CHN,1,159,288,88.5,199.5
LW2x,EB27FC8AFEF8F8DA55943C51665EAFD6,CHN,2,159,288,88.5,199.5
