Olympic,Class,Finish,Country,BoatManufacturer,BoatModel,Rigger,Mount,Backstay,Seat,Span,Spread,OarManufacturer,OarModel,OarShaft,OarLength,OarInboard,OarOutboard,BladeShape,BladeLength,BladeWidth,VortexEdge,WorkTrough,WorkHeels,WorkToes,StretcherAngle,SwivelAboveSeatStarboard,SwivelAboveSeatPortside,SwivelAboveSeatSweep,SeatAboveHeels,PitchStarboard,PitchPortside,PitchSweep,MeasurementDate
O,M1x,9,SUI,Empacher,X10,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,No,,,,,,,,,,,,""
O,M1x,10,RUS,Empacher,X10,"Carbon wing",Bow,No,1,160.5,,C2,Skinny,Med,288.5,88,200.5,SM2P,46,21.5,No,14.5,60,42,19,18,,16.5,4,4,,,""
O,M1x,11,NED,Empacher,,"Carbon wing",Bow,No,1,160,,C2,Skinny,,289,88,201,,46,21.5,No,,,,19,18.5,,,,,,,""
O,M1x,12,DEN,Filippi,F14,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,288.5,87.5,201,SM2P,46,21.5,No,12.2,35.7,39.2,18.2,16.4,,18.4,3,3.1,,,""
O,M1x,13,FRA,Empacher,,"Carbon wing",,,1,160,,C2,skinny,,289,89,200,,,,No,,,42,17.4,,,,,,,,""
O,M1x,14,BLR,Empacher,X11,"Carbon wing",Bow,No,1,160,,C2,SM2P,Med,290.5,88,202.5,SM2P,46,21.5,No,13.5,41.5,43.7,19.5,17.8,,17,5.3,5,,,""
O,M1x,15,RSA,Filippi,F45,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,No,11.5,37.5,41,18.5,17.5,,19.5,3.5,2.8,,,""
O,M1x,16,FIN,Empacher,X10,"Carbon wing",Bow,No,1,160,,C2,SM2P,Med,287.5,88.5,199,SM2P,46,21.5,Yes,11.5,40.5,41.5,18.5,17,,16.5,4.5,5,,,""
O,M1x,17,ARG,Empacher,X08,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,288,88.5,199.5,SM2P,46,21.5,N,9,36,42.7,16.5,15,,14.5,5,5,,,""
O,M1x,18,JPN,Filippi,F45,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,288,88,200,SM2P,46,21.5,No,15,32,41.4,17,16,,16,5.8,7.6,,,""
O,M1x,19,USA,Empacher,X11,"Carbon wing",Bow,No,1,,,C2,Skinny,Med,,,,,,,No,,,,,,,,,,,,""
O,M1x,20,MEX,Empacher,X11,"Carbon wing",Bow,No,1,161,,C2,Skinny,Med,289,87.5,201.5,SM2P,46,21.5,No,11,39.5,40.2,18.3,17.5,,18.3,6.5,6.5,,,""
O,M1x,21,KOR,Filippi,F14,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,289,89,200,SM2P,46,21.5,No,16,37.5,42.5,19,18,,16,5.6,5,,,""
O,M1x,22,SWE,Filippi,F39,"Carbon wing",Bow,No,1,160.5,,C2,Skinny,?,288,88,200,SM2P,46,21.5,No,8,35,42.4,20,18,,15.5,4,4,,,""
O,M1x,23,MON,"Fluid Design",209lbs,"Alum Wing",Bow,No,1,160,,C2,Skinny,Med,288.5,89,199.5,SM2P,46,21.5,No,15.5,38,38.5,17,16.5,,15,2.8,2.5,,,""
O,M1x,24,BRA,Filippi,F22,"Carbon wing",Bow,No,1,160,,C2,,Med,287.5,89,198.5,SM2P,46,21.5,Yes,15.2,36.8,42,16.5,15.5,,17.2,5.8,3.4,,,""
O,M1x,25,ISR,Filippi,F14,"Carbon wing",Bow,No,1,159.5,,C2,,Med,285.5,87.2,198.3,SM2P,46,21.5,No,12.5,41.5,40.2,18.2,17.6,,14,3.8,4.5,,,""
O,M1x,26,ITA,Filippi,F14,"Carbon wing",Bow,No,1,161,,C2,,Med,287.5,89,198.5,SM2P,46,21.5,No,15.5,39,41.3,17.5,17,,17.5,4,7.8,,,""
O,M1x,27,ESP,Filippi,F14,"Carbon wing",Bow,No,1,159.5,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,15,34,41,15,13.5,,19.3,3.6,2.7,,,""
O,M1x,28,UKR,Hudson,U1.42,"Carbon wing",Bow,No,1,159,,Croker,S4,,288,87.5,200.5,,44,21.5,No,21.5,40.5,43,18.5,17,,18,4.4,4.5,,,""
O,M1x,29,ZIM,Hudson,S1.31,"Alum Wing",Bow,No,1,160,,C2,SM2P,Med,288,88,200,SM2P,46,21.5,No,16,32.5,41.5,16.8,15,,14.5,5.5,5.1,,,""
O,M1x,30,PAR,Filippi,F14,"Carbon wing",Bow,No,1,159.5,,C2,,"Med flex",288.5,89,199.5,SM2,46,21.5,Yes,13,37.5,43,16.1,14.9,,17,4,4,,,""
O,M1x,31,PUR,Fili,F22,"Carbon wing",Stern,no,1,162,,C2,skinny,"med flex",291,91,200,SM2P,46,21.5,No,19,43.5,43,5,5,,16.5,5,5,,,""
O,M1x,32,CHN,Hudson,U1.42,"Carbon wing",Bow,No,1,160,,C2,SM2P,Med,290,88,202,SM2P,46,21.5,No,13,40,41.8,18.5,17,,17.5,5.4,6,,,""
O,M1x,33,TUN,Filippi,F01,"Alum Wing",Stern,Yes,1,160,,C2,,Med,288,88.5,199.5,Sm2P,46,21.5,No,14.5,35,40,18,17,,13.5,4,4,,,""
O,M1x,34,BEN,Empacher,X08,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,287,87,200,SM2P,46,21.5,No,15.5,31.5,41,16.5,15.5,,17,4,4,,,""
O,M1x,35,ESA,Hudson,U1.31,"Carbon wing",Bow,No,1,159.5,,C2,,Med,287,88,199,SM2P,46,21.5,Yes,17,33.5,44,14.2,13,,17.5,4,4,,,""
O,M1x,36,AZE,Empacher,X11,"Carbon wing",Bow,No,1,160.9,,Croker,S39,Soft,288.5,88,200.5,,44,21.5,No,9.5,38,44,17.7,15.6,,15,7.1,9.3,,,""
O,M1x,37,UZB,Hudson,S1.31,"Alum Wing",Bow,No,1,159.5,,C2,Sm2,Med,286.5,86,200.5,SM2,46,21.5,Yes,18,34,43,16.5,15.8,,15.5,4.3,4,,,""
O,M1x,38,SAM,Filippi,F39,"Carbon wing",Bow,No,1,161,,Croker,Slick40,S4,288,88,200,S4,44,21.5,No,11,35,44,20.5,18.5,,20,4,4,,,""
O,M1x,39,VIN,Hudson,S1.31,"Alum Wing",Bow,No,1,159.5,,C2,,Med,287,88,199,SM2,46,21.5,Yes,15.5,36.5,42,15.5,15.2,,15.5,4,4,,,""
O,M1x,40,BAH,"Fluid Design",,"Alum Wing",Bow,no,1,160,,C2,Smoothie2,med,287,87,200,SM2P,46,21.5,No,16,30,40,18.5,17.8,,18,4,4,,,""
O,W2-,1,NZL,Filippi,F13,"Alum wing",Stern,Yes,1,,86,C2,"low i",Soft,372,116,256,SM2P,54.5,25.5,No,19,35,57.5,42,,,16.5,18,,,4,""
O,W2-,1,NZL,Filippi,F13,"Alum wing",Stern,Yes,2,,86,C2,"low i",Soft,372,116,256,SM2P,,,No,19,35,52,42,,,16.5,17,,,4,""
O,W2-,2,USA,Empacher,C34,"Carbon wing",Stern,Yes,1,,86.5,Croker,M4,Soft,372,116,256,Smooth,55,25,No,12,39,,42,,,18,18,,,4,""
O,W2-,2,USA,Empacher,C34,"Carbon wing",Stern,Yes,2,,86.5,Croker,M4,Soft,372,116,256,Smooth,55,25,No,12,42,,42,,,18,19,,,,""
O,W2-,3,DEN,Filippi,F30,"Carbon wing",Stern,Yes,1,,85.7,C2,Skinny,Med,373.3,115.5,257.8,SM2P,54.5,25.5,No,,44.2,58,44.6,,,18.1,19.6,,,2.5,""
O,W2-,3,DEN,Filippi,F30,"Carbon wing",Stern,Yes,2,,85.7,C2,Skinny,Med,373.3,115.5,257.8,SM2P,54.5,25.5,No,,41.7,59,41.4,,,17.5,21.5,,,2.5,""
O,W2-,4,GBR,Empacher,C34,"Carbon Wing",Bow,Yes,1,,87,C2,Skinny,Med,373,117,256,SM2P,54.5,25.5,No,17,35,57,43,,,16,19,,,4,""
O,W2-,4,GBR,Empacher,C34,"Carbon Wing",Bow,Yes,2,,87,C2,Skinny,Med,373,117,256,SM2P,54.5,25.5,No,16,34,57,46,,,16,19,,,4,""
O,W2-,5,ESP,Filippi,F13,"Alum wing",Stern,Yes,1,,86,C2,Skinny,Soft,372,116,256,SM2P,54.5,25.5,No,13.5,31,,42.5,,,15.4,17.5,,,5.8,""
